,Rank,Channel,Watch Time (Hours),Stream Time(Hours),Peak Views,Average Viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
0,1,xQcOW,259891196,3510,274545,74032,10430377,4914932,201809998,Partnered,False,English
1,2,Gaules,163287386,8640,340771,18897,3375981,710757,134397811,Partnered,True,Portuguese
2,3,auronplay,120797835,1154,457641,104654,12442819,4247366,138723060,Partnered,False,Spanish
3,4,ibai,113346964,1450,1538645,78156,9907226,4151993,180551417,Partnered,False,Spanish
4,5,loud_coringa,95412821,1618,308169,58960,3023039,1350382,35239717,Partnered,False,Portuguese
5,6,HasanAbi,85842332,2696,153661,31837,1999285,842837,52853990,Partnered,False,English
6,7,Trainwreckstv,82746418,3014,77207,27449,1812669,539165,54284642,Partnered,True,English
7,8,LCK_Korea,80921609,1215,628851,66561,1258918,383324,152097354,Partnered,False,Korean
8,9,ESL_CSGO,77470665,6903,550154,11221,5368338,714317,171362122,Partnered,False,English
9,10,Fextralife,77133312,2978,248428,25898,1326733,752512,731813200,Partnered,False,English
10,11,summit1g,75598366,3813,88265,19823,6078296,193612,62753799,Partnered,False,English
11,12,fps_shaka,73991701,3922,71038,18864,811073,301024,62596391,Partnered,False,Japanese
12,13,loltyler1,73568865,2646,98136,27803,4854017,610015,70092828,Partnered,False,English
13,14,juansguarnizo,73554509,2217,282341,33173,7788563,4124177,105768540,Partnered,False,Spanish
14,15,Asmongold,72459520,1164,427880,62210,2960746,1019191,67840532,Partnered,False,English
15,16,shroud,72294793,2585,340617,27964,10024855,849869,107685977,Partnered,False,English
16,17,TheGrefg,71572053,2243,1066622,31905,9776380,2592271,130941671,Partnered,False,Spanish
17,18,NICKMERCS,67899183,1926,371609,35253,6435290,933580,55774605,Partnered,False,English
18,19,ROSHTEIN,66460662,3167,67600,20982,924557,441420,44919545,Unknown Status,True,English
19,20,Rubius,63154949,1484,241396,42550,11690345,2866621,109640369,Partnered,False,Spanish
20,21,AdinRoss,57741445,1075,254923,53688,5866964,2733290,39251636,Partnered,False,English
21,22,Riot Games (riotgames),57740205,1419,854781,40669,6017204,1052358,70904480,Partnered,False,English
22,23,MontanaBlack88,56211031,1253,159731,44843,4448551,750336,48745526,Partnered,True,German
23,24,otplol_,55465891,7034,300863,7884,515777,268627,71307696,Partnered,False,French
24,25,VALORANT,55436549,1914,344755,28963,2612035,1959116,109966123,Partnered,False,English
25,26,stylishnoob4,52265795,2603,114474,20073,803509,277304,51019773,Partnered,False,Japanese
26,27,Sykkuno,51561627,1888,108251,27302,4039516,814109,51793991,Partnered,False,English
27,28,buddha,50616002,2767,67137,18292,782680,358175,41910150,Partnered,True,English
28,29,Mizkif,49295520,1484,191849,33218,1975129,725006,50765235,Partnered,False,English
29,30,elxokas,45311183,2444,1185959,18534,2880536,2189365,75921683,Partnered,False,Spanish
30,31,casimito,45095213,1682,540146,26798,2214106,1854441,29971704,Partnered,True,Portuguese
31,32,sodapoppin,44796306,2192,78890,20429,3233868,-139558,38239112,Partnered,True,English
32,33,RanbooLive,44390108,584,346132,75977,4260494,1855165,37563766,Partnered,False,English
33,34,Rainbow6,44144943,1464,149268,30148,2287578,422010,39722984,Partnered,True,English
34,35,풍월량 (hanryang1125),43103878,2939,38921,14666,578767,37006,30970917,Partnered,False,Korean
35,36,Amouranth,42054767,4081,33925,10304,5323695,2834770,208995506,Partnered,False,English
36,37,한동숙 (handongsuk),40709225,3147,58322,12932,487776,74899,39020348,Partnered,False,Korean
37,38,LIRIK,40563700,1947,85145,20831,2874453,86946,36571889,Partnered,False,English
38,39,Trymacs,40022404,1849,207574,21645,2953490,467737,44735890,Partnered,False,German
39,40,LVNDMARK,39854138,3294,128877,12099,833451,281509,32048532,Partnered,False,English
40,41,RocketLeague,39580475,691,205975,57238,3549869,560818,83344800,Partnered,False,English
41,42,IlloJuan,38881850,1564,118078,24852,1773424,1041363,48578081,Partnered,False,Spanish
42,43,dota2mc,37970565,2115,136940,17948,669955,115937,79331009,Partnered,False,Russian
43,44,加藤純一です (kato_junichi0817),37891422,1369,222211,27678,570737,262323,26587278,Unknown Status,False,Japanese
44,45,TSM_ImperialHal,37480468,2049,108815,18285,1445077,716034,41885220,Partnered,False,English
45,46,eliasn97,36914742,1460,149152,25271,939853,487305,17568411,Partnered,False,German
46,47,Kamet0,36744701,3414,419458,10760,1378761,559055,48231497,Partnered,False,French
47,48,tarik,36125011,3401,81168,10621,1593667,785494,60322028,Partnered,False,English
48,49,LEC,35370836,801,376228,44144,1723673,318493,36640811,Partnered,False,English
49,50,alanzoka,35057372,1635,65003,21441,5640810,954423,42842720,Partnered,False,Portuguese
